NoClient;Raison social;Civilite;Nom-Prenom;Rue;CP;Ville;CA Prev;Representant;Rdv
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;300;Gordon;19/11/2018 08:00
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;350;Gordon;20/11/2018 08:00
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;420;Gordon;12/11/2018 18:00
411010;;Monsieur;Daou Louis;5 rue des Verts pres;13000;MARSEILLE;325;Gordon;13/11/2018 09:00
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;280;Gordon;14/11/2018 08:00
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;300;Gordon;17/11/2018 09:00
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;300;Gordon;18/11/2018 10:00
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croises;26000;VALENCE;250;Hawkins;08/11/2018 11:00
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;284;Hawkins;10/11/2018 11:00
411008;GAROD SA;Monsieur;Garod Jean;Place des Celestins;38000;GRENOBLE;175;Hawkins;12/11/2018 09:00
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;300;Hawkins;14/11/2018 10:00
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;310;Hawkins;15/11/2018 09:00
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;320;Hawkins;18/11/2018 14:00
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Greve;69000;LYON;330;Hawkins;18/11/2018 15:00
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;345;Keny;08/11/2018 15:00
411006;;Monsieur;Prodon Fidel;Chemin des Alueges;26000;VALENCE;346;Keny;11/11/2018 16:00
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;349;Keny;12/11/2018 12:00
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;258;Keny;14/11/2018 00:00
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;400;Keny;16/11/2018 11:00
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;329;Keny;18/11/2018 12:00
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;381;Keny;13/11/2018 17:00
